Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2876440888704,-3324458639348199636,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),2,2
2,2876440889824,2106211283501046620,318,0,0.8096,0.4809,0.3072,1.5977,(C | Uniform),0,0
3,2876440891056,4036987830044239460,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),0,0
4,2876440893296,-552642501992411536,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
5,2876440894752,7216576212142466900,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),0,0
6,2876440889488,3217062272655172269,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=2)),0,0
7,2876440894192,8816681726314835537,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),0,0
8,2876440893632,8865301192531541726,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),0,0
9,2876440893408,1757810659070918438,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
10,2876440890048,-4541970009077136242,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
11,2876440889152,-4765754050755121742,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
12,2876440892512,3867760541562140264,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
13,2876440890160,-4539686287730718395,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),1,1
14,2876440889040,-8979143106839447872,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=2)),0,0
15,2876440893184,-8600880276494858031,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
16,2876440890608,2992404733733970068,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
17,2876440891168,1092872259738475474,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
18,2876440892176,-172750616186183880,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
19,2876440894528,1054733919979148999,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),1,1
20,2876440895760,-3984631378161756345,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),0,0
21,2876440888592,6592569518758284035,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
22,2876440895648,-7251066956956472377,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
23,2876440890944,1547893892657871122,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),1,1
24,2876440891616,2460409548442925895,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
25,2876440889264,512313340830966905,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),0,0
26,2876440895088,5809098256984424834,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),0,0
27,2876440890496,-7267171658320581467,318,0,0.8096,0.4809,0.3072,1.5977,(C | Uniform),0,0
28,2876440891280,8063437185181669550,318,0,0.8096,0.4809,0.3072,1.5977,(C | Uniform),0,0
29,2876440892624,-1067468634216011682,318,0,0.8096,0.4809,0.3072,1.5977,(C | Scattered),1,0
30,2876440891392,-7486819628054201831,318,0,0.8096,0.4809,0.3072,1.5977,(C | RoundTypeCrossover),0,0
31,2876440893968,4812716742715351838,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
32,2876440895536,5051482827210790398,318,0,0.8096,0.4809,0.3072,1.5977,(C | Scattered),0,0
33,2876440894304,7197182479869562598,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
34,2876440888928,-7275254528738305216,318,0,0.8096,0.4809,0.3072,1.5977,(C | LocationCrossover),0,0
35,2876440894080,9104807868316593728,318,0,0.8096,0.4809,0.3072,1.5977,(C | LocationCrossover),0,0
36,2876440889600,-8219232033993346738,318,0,0.8096,0.4809,0.3072,1.5977,(C | LocationCrossover),0,0
37,2876440889376,658516008196019343,318,0,0.8096,0.4809,0.3072,1.5977,(C | LocationCrossover),0,0
38,2876440893072,7564209451958283644,318,0,0.8096,0.4809,0.3072,1.5977,(C | Scattered),0,0
39,2876440895200,-4529956060892992827,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
40,2876440893744,8564912321620336702,318,0,0.8096,0.4809,0.3072,1.5977,(C | LocationCrossover),0,0
41,2876440891504,-7377375221513254968,318,0,0.8096,0.4809,0.3072,1.5977,(C | LocationCrossover),0,0
42,2876440889712,-428984219171993300,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=2)),0,0
43,2876440889936,-7599911549376262695,318,0,0.8096,0.4809,0.3072,1.5977,(C | TimeSlotCrossover),0,0
44,2876440891728,-6345432309823938216,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),2,2
45,2876440894640,-1403349139512693769,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=1)),1,0
46,2876440894416,6645087802089797446,318,0,0.8096,0.4809,0.3072,1.5977,(C | KPoint(k=3)),1,0
47,2876440892960,7664367748209700134,318,0,0.8096,0.4797,0.3072,1.5964,(C | KPoint(k=2)),0,0
48,2876440891952,1710380314085485959,318,0,0.8096,0.4797,0.3072,1.5964,(C | KPoint(k=3)),1,0
