Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1492498925264,-2373899801959793994,318,0,0.2445,0.0000,0.0795,0.3240,(C | RoundTypeCrossover),0,0
2,1492498928288,8439433234035320712,318,0,0.2445,0.0000,0.0795,0.3240,(C | KPoint(k=2)),0,0
3,1492492468032,1968518673625248851,318,0,0.2445,0.0000,0.0795,0.3240,(C | KPoint(k=2)),0,0
4,1492498935008,5536150045079962009,318,0,0.2445,0.0000,0.0795,0.3240,(C | KPoint(k=2)),0,0
5,1492498928736,-5590330332228850183,318,0,0.2445,0.0000,0.0795,0.3240,(C | Scattered),0,0
6,1492498931648,-1674091252380605074,318,0,0.2445,0.0000,0.0795,0.3240,(C | TimeSlotCrossover),0,0
7,1492492464448,-9023082994300831826,318,0,0.2445,0.0000,0.0795,0.3240,(C | TimeSlotCrossover),0,0
8,1492498933216,7089394521871452983,318,0,0.2445,0.0000,0.0795,0.3240,(C | Uniform),0,0
9,1492498933888,8935615998203001082,318,0,0.2445,0.0000,0.0795,0.3240,(C | Uniform),1,1
10,1492498930864,-7746373585309885730,318,0,0.2445,0.0000,0.0795,0.3240,(C | KPoint(k=3)),0,0
11,1492498931088,8392120247982437865,318,0,0.2445,0.0000,0.0795,0.3240,(C | LocationCrossover),0,0
12,1492498928960,9015204406865945217,318,0,0.2445,0.0000,0.0795,0.3240,(C | KPoint(k=3)),1,0
13,1492498924592,-1258462345804014676,318,1,0.2445,0.0000,0.0795,0.3239,(C | TimeSlotCrossover),1,0
14,1492498924368,-4732407024090199371,318,1,0.2445,0.0000,0.0795,0.3239,(C | RoundTypeCrossover),2,2
15,1492492465344,-3112599591943470207,318,1,0.2445,0.0000,0.0795,0.3239,(C | KPoint(k=3)),0,0
16,1492492466128,2507587926198433924,318,1,0.2445,0.0000,0.0795,0.3239,(C | KPoint(k=3)),0,0
17,1492492463888,-6199758455310431445,318,1,0.2445,0.0000,0.0795,0.3239,(C | Scattered),0,0
18,1492492463552,5506585868383338975,318,1,0.2445,0.0000,0.0795,0.3239,(C | KPoint(k=3)),0,0
19,1492498926496,7534926295737389935,318,1,0.2445,0.0000,0.0795,0.3239,(C | KPoint(k=3)),0,0
20,1492492464336,7374603889887667372,318,1,0.2445,0.0000,0.0795,0.3239,(C | TimeSlotCrossover),0,0
21,1492498930528,-4034822152595932368,318,1,0.2445,0.0000,0.0795,0.3239,(C | RoundTypeCrossover),1,1
22,1492498929072,-763490735587386145,318,1,0.2445,0.0000,0.0795,0.3239,(C | KPoint(k=2)),1,1
23,1492492466240,6563910758635264905,318,1,0.2445,0.0000,0.0795,0.3239,(C | KPoint(k=3)),0,0
24,1492498932096,3689905987450142160,318,1,0.2445,0.0000,0.0795,0.3239,(C | RoundTypeCrossover),0,0
25,1492492466688,8264324091305888555,318,2,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=1)),0,0
26,1492492465232,-3412200085494678149,318,2,0.2444,0.0000,0.0795,0.3239,(C | KPoint(k=3)),0,0
27,1492498932768,1049818370866891476,318,2,0.2444,0.0000,0.0795,0.3239,(C | Scattered),0,0
28,1492498928512,1124775474084767456,318,2,0.2444,0.0000,0.0795,0.3239,(C | TimeSlotCrossover),0,0
