Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2528920991584,5063476799345854146,318,0,0.2065,0.0399,0.0875,0.3340,(C | KPoint(k=1)),0,0
2,2528920993488,-6990817854946739582,318,0,0.2061,0.0401,0.0875,0.3338,(C | Scattered),1,1
3,2528920991360,-3281979865770452795,318,0,0.2061,0.0401,0.0875,0.3338,(C | Scattered),0,0
4,2528920992816,-8440480694576666793,318,0,0.2061,0.0401,0.0875,0.3338,(C | TimeSlotCrossover),0,0
5,2528920993600,-7427427656632283813,318,0,0.2061,0.0401,0.0875,0.3338,(C | KPoint(k=3)),0,0
6,2528927220112,1654305750522232304,318,0,0.2061,0.0401,0.0875,0.3338,(C | Uniform),0,0
7,2528920988112,8394333060316718781,318,0,0.2061,0.0401,0.0875,0.3338,(C | KPoint(k=2)),1,0
8,2528920989344,4204554441762336524,318,0,0.2061,0.0401,0.0875,0.3338,(C | KPoint(k=3)),0,0
9,2528920991136,-7945275784089091799,318,0,0.2061,0.0401,0.0875,0.3338,(C | RoundTypeCrossover),0,0
10,2528920993264,-2375184172406100237,318,0,0.2061,0.0401,0.0875,0.3338,(C | RoundTypeCrossover),1,1
11,2528920989904,5782777262101950135,318,0,0.2061,0.0401,0.0875,0.3338,(C | KPoint(k=1)),0,0
12,2528920989120,7307393955326692941,318,0,0.2061,0.0401,0.0875,0.3338,(C | LocationCrossover),0,0
13,2528920988784,-3399280148376111957,318,0,0.2179,0.0257,0.0875,0.3311,(C | KPoint(k=3)),0,0
14,2528920990128,-8221011343279813714,318,0,0.2009,0.0401,0.0875,0.3286,(C | TimeSlotCrossover),0,0
15,2528920988224,-375159484981216791,318,0,0.2009,0.0401,0.0875,0.3286,(C | KPoint(k=1)),1,0
16,2528920991920,-5537802351923280289,318,0,0.2009,0.0401,0.0875,0.3286,(C | TimeSlotCrossover),0,0
17,2528927220672,3920438676638175312,318,0,0.2009,0.0401,0.0875,0.3286,(C | TimeSlotCrossover),0,0
18,2528927219776,-7751625030359484579,318,0,0.2009,0.0401,0.0875,0.3286,(C | Scattered),0,0
19,2528920989008,-2784845394157462381,318,0,0.2009,0.0401,0.0875,0.3286,(C | LocationCrossover),0,0
20,2528927220000,489159486864102467,318,0,0.2009,0.0401,0.0875,0.3286,(C | KPoint(k=3)),0,0
21,2528920989568,6135617538451048415,318,0,0.2117,0.0286,0.0875,0.3278,(C | RoundTypeCrossover),0,0
22,2528920990688,1712952064623992080,318,0,0.2110,0.0288,0.0875,0.3273,(C | KPoint(k=3)),0,0
23,2528920990912,-8872437044872064610,318,0,0.2110,0.0288,0.0875,0.3273,(C | RoundTypeCrossover),0,0
24,2528920988000,-2641541406029455992,318,0,0.2130,0.0260,0.0875,0.3265,(C | RoundTypeCrossover),0,0
25,2528920991808,3712594620742173929,318,0,0.2118,0.0265,0.0875,0.3258,(C | KPoint(k=1)),0,0
26,2528927220336,113278573031489700,318,0,0.2119,0.0263,0.0875,0.3257,(C | TimeSlotCrossover),1,0
27,2528920990576,4135317925332214506,318,0,0.2072,0.0295,0.0875,0.3242,(C | KPoint(k=1)),1,1
28,2528920989680,-1019711578479046328,318,0,0.2072,0.0295,0.0875,0.3242,(C | LocationCrossover),1,1
29,2528920990352,-6767052352587758328,318,0,0.2072,0.0295,0.0875,0.3242,(C | KPoint(k=2)),0,0
30,2528920992480,3332121562680591789,318,1,0.2065,0.0398,0.0875,0.3339,(C | KPoint(k=3)),0,0
31,2528927219888,924116691602797116,318,1,0.2059,0.0401,0.0875,0.3335,(C | KPoint(k=1)),0,0
32,2528927220784,4716193040467954317,318,1,0.2059,0.0401,0.0875,0.3335,(C | RoundTypeCrossover),0,0
33,2528920992368,7346672695339310206,318,1,0.2059,0.0401,0.0875,0.3335,(C | KPoint(k=1)),0,0
34,2528927220560,8900322533872487670,318,1,0.2059,0.0401,0.0875,0.3335,(C | TimeSlotCrossover),0,0
35,2528927220224,-3250372237515830090,318,1,0.2059,0.0401,0.0875,0.3335,(C | KPoint(k=2)),0,0
36,2528920988672,822509016865872971,318,1,0.2059,0.0401,0.0875,0.3335,(C | LocationCrossover),1,0
37,2528920991024,-5728359456104551618,318,1,0.2059,0.0399,0.0875,0.3334,(C | KPoint(k=2)),1,0
38,2528927221008,6724848441509974799,318,1,0.2059,0.0399,0.0875,0.3334,(C | KPoint(k=1)),0,0
39,2528920989792,3833359919782458984,318,1,0.2083,0.0285,0.0875,0.3243,(C | KPoint(k=1)),0,0
