Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
28,1650904303424,7599098575769188671,318,2,0.5781,0.5552,0.8796,2.0129,(C | Uniform),0,0
29,1650897305296,-4938688434933334572,318,2,0.5781,0.5552,0.8796,2.0129,(C | LocationCrossover),0,0
30,1650897300928,-6401092852830605130,318,2,0.5781,0.5552,0.8796,2.0129,(C | KPoint(k=1)),0,0
31,1650897304288,-6923355880458765171,318,2,0.5781,0.5552,0.8796,2.0129,(C | Scattered),0,0
32,1650904303200,-6707014615627718470,318,2,0.5781,0.5552,0.8796,2.0129,(C | LocationCrossover),0,0
33,1650897303504,-4592202933873206412,318,2,0.5781,0.5552,0.8796,2.0129,(C | RoundTypeCrossover),0,0
34,1650897304960,-1984627787571045506,318,2,0.5781,0.5552,0.8796,2.0129,(C | KPoint(k=3)),0,0
35,1650897300480,5124474601034445816,318,2,0.5781,0.5552,0.8796,2.0129,(C | KPoint(k=2)),0,0
36,1650897301712,6695400396927520450,318,2,0.5792,0.5465,0.8796,2.0053,(C | KPoint(k=3)),1,1
37,1650897304064,7118494658699280299,318,2,0.5792,0.5465,0.8796,2.0053,(C | RoundTypeCrossover),0,0
38,1650897304512,-7274593060958461916,318,3,0.7586,0.5237,0.8796,2.1619,(C | KPoint(k=3)),0,0
39,1650897302496,6159210600421311189,318,3,0.7586,0.5237,0.8796,2.1619,(C | KPoint(k=3)),0,0
40,1650897300592,-1555515738444992443,318,3,0.5779,0.5765,0.8796,2.0340,(C | TimeSlotCrossover),1,1
41,1650897300704,4269287773862756648,318,3,0.5716,0.5804,0.8796,2.0315,(C | RoundTypeCrossover),0,0
42,1650904302416,1081600175608382253,318,3,0.5716,0.5804,0.8796,2.0315,(C | RoundTypeCrossover),0,0
43,1650897303840,-513573963933336670,318,3,0.5792,0.5450,0.8796,2.0038,(C | TimeSlotCrossover),1,0
44,1650897305184,4603040196676164209,318,3,0.5781,0.5452,0.8796,2.0029,(C | LocationCrossover),0,0
45,1650897304400,-4935508190812940751,318,4,0.7519,0.5198,0.8796,2.1513,(C | Uniform),0,0
46,1650897305408,-5588015888702347734,318,4,0.5561,0.5804,0.8796,2.0160,(C | KPoint(k=1)),0,0
47,1650904303536,1360369951528104145,318,4,0.5561,0.5804,0.8796,2.0160,(C | LocationCrossover),0,0
48,1650904301632,-1355249630285008591,318,4,0.5762,0.5552,0.8796,2.0110,(C | Scattered),0,0
49,1650897304848,6090916154513766291,318,4,0.5762,0.5552,0.8796,2.0110,(C | TimeSlotCrossover),0,0
50,1650897303728,-9030332971199857512,318,4,0.5779,0.5363,0.8796,1.9938,(C | KPoint(k=3)),1,0
51,1650897303280,649989879117149407,318,4,0.5779,0.5363,0.8796,1.9938,(C | KPoint(k=3)),2,1
52,1650897303056,-5700488013358927349,318,4,0.5792,0.5235,0.8796,1.9822,(C | LocationCrossover),0,0
53,1650904301744,-2567680191740716364,318,5,0.5414,0.5804,0.8796,2.0014,(C | LocationCrossover),0,0
54,1650897303392,-1220110918537773677,318,5,0.5561,0.5428,0.8796,1.9785,(C | KPoint(k=1)),1,1
55,1650904301856,-2449639165984062145,318,5,0.5582,0.4397,0.8796,1.8776,(C | Uniform),0,0
56,1650904302864,-1496324802742354828,318,6,0.3334,0.3858,0.8531,1.5723,Builder,0,0
57,1650904302528,6493430054158448507,318,6,0.3334,0.3858,0.8531,1.5723,(C | KPoint(k=3)),0,0
58,1650897301824,-8877423106394881952,318,6,0.3231,0.3879,0.8531,1.5641,Builder,0,0
59,1650897302048,-6627541314059119110,318,6,0.2592,0.4076,0.7436,1.4104,Builder,0,0
60,1650897300368,-6284309239770704294,318,7,0.2892,0.3867,0.8454,1.5212,Builder,0,0
61,1650897303952,3113242969961237427,318,7,0.2907,0.3661,0.8454,1.5021,Builder,0,0
62,1650897305072,-6842362196323746475,318,7,0.2688,0.3537,0.8454,1.4678,Builder,0,0
63,1650904302192,1494024035033052201,318,7,0.3071,0.3832,0.7436,1.4339,Builder,0,0
64,1650897301376,-4080727560852426339,318,8,0.2838,0.3677,0.8454,1.4968,Builder,0,0
