Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1650904302640,6331231350965074563,318,0,0.7682,0.5237,0.8796,2.1715,(C | Scattered),0,0
2,1650897304624,7750487174794480901,318,0,0.7682,0.5237,0.8796,2.1715,(C | KPoint(k=3)),0,0
3,1650897302720,6794426870486005278,318,0,0.7682,0.5237,0.8796,2.1715,(C | KPoint(k=1)),0,0
4,1650897302608,-4967309278255072919,318,0,0.7682,0.5237,0.8796,2.1715,(C | Uniform),0,0
5,1650904302080,1062582658269909121,318,0,0.7682,0.5237,0.8796,2.1715,(C | RoundTypeCrossover),0,0
6,1650897301152,5942477551464399690,318,0,0.7682,0.5237,0.8796,2.1715,(C | Scattered),0,0
7,1650897303168,925055429907068138,318,0,0.7682,0.5237,0.8796,2.1715,(C | KPoint(k=2)),0,0
8,1650897301488,923344470845679874,318,0,0.7682,0.5237,0.8796,2.1715,(C | KPoint(k=2)),0,0
9,1650904301968,3325997839345518250,318,0,0.7682,0.5237,0.8796,2.1715,(C | KPoint(k=3)),0,0
10,1650897301040,-5856633155595617897,318,0,0.7682,0.5237,0.8796,2.1715,(C | RoundTypeCrossover),0,0
11,1650897302272,-1938424549360307308,318,0,0.5810,0.5804,0.8796,2.0409,(C | KPoint(k=2)),0,0
12,1650904302976,6908819242348969738,318,0,0.5810,0.5804,0.8796,2.0409,(C | KPoint(k=3)),0,0
13,1650897304736,-3452753921942096125,318,0,0.5812,0.5552,0.8796,2.0160,(C | KPoint(k=2)),0,0
14,1650904302752,6305777605657629599,318,1,0.7678,0.5237,0.8796,2.1711,(C | RoundTypeCrossover),0,0
15,1650897303616,5512766004675400885,318,1,0.7682,0.5150,0.8796,2.1628,(C | KPoint(k=3)),1,0
16,1650897302944,2497098245583813606,318,1,0.5792,0.5804,0.8796,2.0391,(C | KPoint(k=3)),0,0
17,1650897300816,969501272028717639,318,2,0.7664,0.5237,0.8796,2.1697,(C | LocationCrossover),0,0
18,1650897301264,-2804751878487024256,318,2,0.5779,0.5804,0.8796,2.0378,(C | Uniform),0,0
19,1650904303088,-8319393063797653445,318,2,0.5779,0.5804,0.8796,2.0378,(C | KPoint(k=3)),0,0
20,1650897301600,-3675299784282771166,318,2,0.5779,0.5804,0.8796,2.0378,(C | KPoint(k=1)),0,0
21,1650897302160,-3822887097105103675,318,2,0.5779,0.5804,0.8796,2.0378,(C | LocationCrossover),0,0
22,1650897302384,5035670163543082226,318,2,0.5779,0.5804,0.8796,2.0378,(C | KPoint(k=2)),0,0
23,1650897300256,547295406264129919,318,2,0.5779,0.5804,0.8796,2.0378,(C | LocationCrossover),0,0
24,1650904302304,1126861024588329417,318,2,0.5779,0.5804,0.8796,2.0378,(C | TimeSlotCrossover),0,0
25,1650904303312,-1549279926062185095,318,2,0.5779,0.5804,0.8796,2.0378,(C | KPoint(k=3)),0,0
26,1650897301936,4120499146274784709,318,2,0.5779,0.5804,0.8796,2.0378,(C | TimeSlotCrossover),0,0
27,1650897302832,-2387785426436056104,318,2,0.5779,0.5804,0.8796,2.0378,(C | RoundTypeCrossover),0,0
