Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
55,1736810347904,2394229176358581022,318,4,0.5771,0.5394,0.8796,1.9961,(C | KPoint(k=1)),0,0
56,1736810346448,-8700238946098413096,318,5,0.5765,0.5641,0.8796,2.0202,(C | KPoint(k=2)),0,0
57,1736810345776,-6396857430961266426,318,5,0.5522,0.5692,0.8796,2.0009,(C | KPoint(k=3)),0,0
58,1736817837440,3829442539010274627,318,5,0.5395,0.5796,0.8796,1.9986,(C | KPoint(k=2)),0,0
59,1736810346224,3343557869424553098,318,6,0.4832,0.5457,0.8796,1.9085,(C | KPoint(k=1)),0,0
60,1736810345888,-8707904560746257296,318,7,0.4636,0.4368,0.8698,1.7703,(C | LocationCrossover),0,0
61,1736810347568,7471372712883798242,318,8,0.3042,0.3823,0.8631,1.5497,Builder,0,0
62,1736810345328,-7794136497751349103,318,8,0.3006,0.4035,0.7579,1.4621,(C | LocationCrossover),0,0
63,1736810347120,2992467597373103422,318,9,0.2859,0.3530,0.8631,1.5019,Builder,0,0
64,1736810347232,-3860423764671314294,318,9,0.3025,0.3582,0.7579,1.4186,Builder,0,0
