Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,1671183861680,-1270060049426218221,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=2)),0,0
2,1671183863024,6244457226245611856,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
3,1671183865040,-3969836424709648806,318,0,0.6428,0.4728,0.9761,2.0917,(C | Scattered),0,0
4,1671183865488,2810008012954290332,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
5,1671183868400,-2928861498686274554,318,0,0.6428,0.4728,0.9761,2.0917,(C | RoundTypeCrossover),1,0
6,1671183867840,8017293451209436511,318,0,0.6428,0.4728,0.9761,2.0917,(C | Scattered),0,0
7,1671183867280,6376103849615234852,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),1,1
8,1671183865152,3965555119626333060,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=2)),0,0
9,1671183862016,2169862277330190880,318,0,0.6428,0.4728,0.9761,2.0917,(C | RoundTypeCrossover),0,0
10,1671183867056,-3333138382445288144,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=2)),0,0
11,1671183862576,-7067208548484850288,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),0,0
12,1671183866384,-7434821292017869793,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=2)),0,0
13,1671183861568,27795981084113850,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
14,1671183867728,2645832024270329178,318,0,0.6428,0.4728,0.9761,2.0917,(C | Scattered),0,0
15,1671183862128,-5524130651519589937,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),0,0
16,1671183861792,4956417019830315776,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
17,1671183864704,4940004693398117307,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
18,1671183864032,-5611350877799687527,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
19,1671183864144,1213249508910292913,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=2)),0,0
20,1671183865712,5284969090856940045,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),1,0
21,1671183864480,2937645771261140238,318,0,0.6428,0.4728,0.9761,2.0917,(C | RoundTypeCrossover),0,0
22,1671183864368,6947669377353387518,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=2)),0,0
23,1671183868176,5269667488461793822,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
24,1671183867168,-5630611425260580895,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
25,1671183868288,-5927903179466575399,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
26,1671183861232,1567389434039720392,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),0,0
27,1671183866944,240667349870683266,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
28,1671183863136,8056506220827581959,318,0,0.6428,0.4728,0.9761,2.0917,(C | Scattered),0,0
29,1671183863248,6037527655261902494,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
30,1671183862352,-30345902044975571,318,0,0.6428,0.4728,0.9761,2.0917,(C | LocationCrossover),1,1
31,1671183862688,1686096236325537399,318,0,0.6428,0.4728,0.9761,2.0917,(C | RoundTypeCrossover),1,0
32,1671183863360,2445853744290300629,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
33,1671183868064,1758008254744458781,318,0,0.6428,0.4728,0.9761,2.0917,(C | RoundTypeCrossover),0,0
34,1671183866832,3666710669699155403,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),0,0
35,1671183865824,8640632401004016497,318,0,0.6428,0.4728,0.9761,2.0917,(C | KPoint(k=3)),0,0
36,1671183863472,8835745162179472211,318,0,0.6428,0.4728,0.9761,2.0917,(C | TimeSlotCrossover),0,0
37,1671183864928,1073100249795069795,318,0,0.6428,0.4728,0.9761,2.0917,(C | Uniform),0,0
