Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2644998012512,-6469064452098780365,318,0,0.7684,0.5803,0.8796,2.2283,(C | KPoint(k=3)),0,0
2,2644998011840,-1190464903377734800,318,0,0.7684,0.5803,0.8796,2.2283,(C | KPoint(k=3)),0,0
3,2644998007584,3501749325972162387,318,0,0.7684,0.5803,0.8796,2.2283,(C | KPoint(k=2)),0,0
4,2645004976640,4510755468534227245,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=3)),0,0
5,2645004977536,7386726660218996216,318,0,0.7689,0.5559,0.8796,2.2044,(C | TimeSlotCrossover),0,0
6,2644998011392,5260744568723996917,318,0,0.7689,0.5559,0.8796,2.2044,(C | Scattered),0,0
7,2644998008144,-7698244043929922034,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=2)),0,0
8,2645004977760,-3002446005319887132,318,0,0.7689,0.5559,0.8796,2.2044,(C | RoundTypeCrossover),0,0
9,2645004976304,-1846078446200325618,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=2)),0,0
10,2644998011168,-31504360139590968,318,0,0.7689,0.5559,0.8796,2.2044,(C | Scattered),0,0
11,2644998012176,-8731083890750814204,318,0,0.7689,0.5559,0.8796,2.2044,(C | LocationCrossover),0,0
12,2644998012064,-1605756387517809011,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=3)),0,0
13,2644998010944,-6688684441567630630,318,0,0.7689,0.5559,0.8796,2.2044,(C | LocationCrossover),0,0
14,2645004976864,-1554368421331372761,318,0,0.7689,0.5559,0.8796,2.2044,(C | TimeSlotCrossover),0,0
15,2645004976528,-4674815355596517262,318,0,0.7689,0.5559,0.8796,2.2044,(C | Scattered),0,0
16,2644998009040,-4221894072254443809,318,0,0.7689,0.5559,0.8796,2.2044,(C | TimeSlotCrossover),0,0
17,2644998007808,-2501579369465872482,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=2)),0,0
18,2644998010832,5865859457435027209,318,0,0.7689,0.5559,0.8796,2.2044,(C | RoundTypeCrossover),0,0
19,2645004977424,-5033929391952242551,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=3)),0,0
20,2645004977088,-5417635727127099474,318,0,0.7689,0.5559,0.8796,2.2044,(C | Scattered),0,0
21,2645004976976,-1810528786303873922,318,0,0.7689,0.5559,0.8796,2.2044,(C | Scattered),0,0
22,2644998009712,4446290742021062074,318,0,0.7689,0.5559,0.8796,2.2044,(C | LocationCrossover),0,0
23,2644998010720,1320354638809579795,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=3)),0,0
24,2644998009488,-6886319896394820487,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=3)),0,0
25,2644998008256,3440241705990587237,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=1)),0,0
26,2644998009936,2081748967154621879,318,0,0.7689,0.5559,0.8796,2.2044,(C | TimeSlotCrossover),0,0
27,2645004976192,3758061330988443981,318,0,0.7689,0.5559,0.8796,2.2044,(C | KPoint(k=1)),0,0
28,2644998009824,4558500455487809,318,0,0.7689,0.5474,0.8796,2.1959,(C | KPoint(k=1)),0,0
29,2644998007696,3218745990615645356,318,0,0.7689,0.5474,0.8796,2.1959,(C | KPoint(k=2)),0,0
30,2645004977312,535495482516906910,318,0,0.7689,0.5474,0.8796,2.1959,(C | RoundTypeCrossover),0,0
31,2645004977648,1859794819693487284,318,1,0.7689,0.5552,0.8796,2.2037,(C | Scattered),0,0
32,2644998011616,-2112154201170012064,318,1,0.7689,0.5552,0.8796,2.2037,(C | Uniform),0,0
33,2644998012400,-2421977178186283110,318,1,0.7427,0.5474,0.8796,2.1696,(C | Scattered),0,0
34,2644998007920,-827332439747486921,318,1,0.7684,0.5183,0.8796,2.1663,(C | KPoint(k=1)),0,0
35,2645004977984,6181774060396559388,318,1,0.7549,0.5202,0.8796,2.1547,(C | TimeSlotCrossover),0,0
36,2644998008816,773963462552502309,318,1,0.7549,0.5202,0.8796,2.1547,(C | TimeSlotCrossover),0,0
37,2644998009376,1750859114350439310,318,1,0.7549,0.5202,0.8796,2.1547,(C | TimeSlotCrossover),0,0
38,2644998012624,881906400810660688,318,1,0.5777,0.5559,0.8796,2.0132,(C | Uniform),0,0
39,2644998008928,-911897492001025564,318,2,0.7689,0.5125,0.8796,2.1610,(C | RoundTypeCrossover),0,0
40,2645004977200,-6864324189686525783,318,2,0.7468,0.5202,0.8796,2.1466,(C | Uniform),0,0
41,2644998010496,-8231616454703588861,318,2,0.5772,0.5559,0.8796,2.0127,(C | RoundTypeCrossover),0,0
42,2644998011504,-6391970315281778036,318,2,0.5448,0.5387,0.8796,1.9631,(C | KPoint(k=2)),0,0
43,2644998008368,-2079478945854028443,318,3,0.7462,0.5005,0.8796,2.1263,(C | RoundTypeCrossover),0,0
44,2644998011280,-2470364818111049724,318,3,0.5752,0.5559,0.8796,2.0106,(C | KPoint(k=3)),0,0
45,2644998011728,-6390321984976787118,318,3,0.5257,0.5387,0.8796,1.9440,(C | KPoint(k=3)),0,0
46,2645004976752,4213873830245853569,318,4,0.5579,0.5559,0.8796,1.9933,(C | RoundTypeCrossover),2,2
47,2644998012736,2246912650158063813,318,4,0.5639,0.5005,0.8796,1.9440,(C | KPoint(k=2)),0,0
48,2644998008480,2969396619111005114,318,5,0.5522,0.5559,0.8796,1.9877,(C | Scattered),0,0
49,2645004977872,-8820683907757502906,318,5,0.3814,0.3989,0.8796,1.6598,(C | KPoint(k=3)),0,0
50,2644998009600,-7645526721565112428,318,5,0.3744,0.4017,0.8796,1.6557,(C | Scattered),0,0
51,2644998010272,6355149646067135312,318,5,0.3309,0.4055,0.8796,1.6159,(C | Uniform),0,0
52,2644998012288,2776881942670283310,318,6,0.4572,0.4774,0.8698,1.8044,(C | KPoint(k=3)),0,0
53,2644998009152,-1909610168214966256,318,6,0.3343,0.3623,0.8796,1.5761,(C | Scattered),0,0
54,2644998010160,-6877455433510316528,318,7,0.3482,0.4038,0.8698,1.6218,(C | LocationCrossover),0,0
55,2644998011952,-4465653008714904214,318,7,0.3652,0.4663,0.7625,1.5940,(C | LocationCrossover),1,0
56,2644998008032,2852228472396577666,318,8,0.3014,0.3904,0.8577,1.5495,(C | TimeSlotCrossover),0,0
57,2644998010048,-1712485504228401572,318,8,0.2921,0.3976,0.8577,1.5474,Builder,0,0
