Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2132118881552,6663845683458180236,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=3)),0,0
2,2132037139392,-120287757734146335,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),0,0
3,2132126146608,-1854947680715829860,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
4,2132118887152,-4947456744387088594,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=3)),0,0
5,2132118894320,-1681335599583614531,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),0,0
6,2132126149968,-5466170062553456991,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=3)),0,0
7,2132118894768,914683987324850690,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),1,0
8,2132037140176,-2858230708990225420,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
9,2132037137824,-5227158319364274659,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),0,0
10,2132037131104,-4014897143718882509,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
11,2132126151312,1708795879803062179,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),1,0
12,2132126140112,-1550122761602644577,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),0,0
13,2132037136928,2417828812884380587,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
14,2132037126960,1861097983859869181,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),1,0
15,2132037136816,2275602832813812588,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=3)),0,0
16,2132111946496,-8259501800342448189,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
17,2132118891072,-5640458595368280069,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=2)),0,0
18,2132111934176,1847106148191136689,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=3)),1,0
19,2132126146496,-2492358552265255811,318,0,0.3106,0.0000,0.8754,1.1860,(C | TimeSlotCrossover),1,0
20,2132126140000,6680820641728601908,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),1,1
21,2132118891744,-9110617079167156762,318,0,0.3106,0.0000,0.8754,1.1860,(C | KPoint(k=1)),0,0
22,2132118883792,-3324732079605140537,318,0,0.3106,0.0000,0.8754,1.1860,(C | Uniform),0,0
23,2132037134240,6306440700066947239,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
24,2132118882112,6106523533690981189,318,0,0.3106,0.0000,0.8754,1.1860,(C | RoundTypeCrossover),0,0
