Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
1,2218733831776,1442803649597122800,318,0,0.7872,0.5831,0.8796,2.2499,(C | TimeSlotCrossover),0,0
2,2218733830320,-6284509893466711416,318,0,0.7872,0.5831,0.8796,2.2499,(C | KPoint(k=1)),0,0
3,2218733832000,7772303705583752362,318,0,0.7872,0.5831,0.8796,2.2499,(C | Uniform),0,0
4,2218733830992,210858034390012817,318,0,0.7872,0.5831,0.8796,2.2499,(C | TimeSlotCrossover),0,0
5,2218733831440,6648088702787808984,318,0,0.7872,0.5831,0.8796,2.2499,(C | KPoint(k=2)),0,0
6,2218726291632,-2847458400921599174,318,0,0.7872,0.5831,0.8796,2.2499,(C | TimeSlotCrossover),0,0
7,2218733831552,4237230075505716603,318,0,0.7872,0.5831,0.8796,2.2499,(C | TimeSlotCrossover),0,0
8,2218726292528,-2607609482154044164,318,0,0.7872,0.5831,0.8796,2.2499,(C | KPoint(k=2)),0,0
9,2218733830544,-4369422890530092656,318,0,0.7872,0.5831,0.8796,2.2499,(C | KPoint(k=3)),0,0
10,2218733832112,-7806786989390609325,318,0,0.7872,0.5831,0.8796,2.2499,(C | TimeSlotCrossover),0,0
11,2218726290736,1632527950996363174,318,0,0.7872,0.5831,0.8796,2.2499,(C | KPoint(k=2)),0,0
12,2218733832672,-4596628420795966743,318,0,0.7872,0.5831,0.8796,2.2499,(C | TimeSlotCrossover),0,0
13,2218733833008,-4737645776686913304,318,0,0.7872,0.5831,0.8796,2.2499,(C | KPoint(k=3)),0,0
14,2218726292864,701143295376151710,318,0,0.7872,0.5831,0.8796,2.2499,(C | Uniform),0,0
15,2218733833904,-7286453980065367339,318,0,0.7872,0.5831,0.8796,2.2499,(C | RoundTypeCrossover),0,0
16,2218726292416,2833074880457333720,318,0,0.7930,0.5487,0.8796,2.2213,(C | Uniform),0,0
17,2218733830432,4307431207320878186,318,0,0.5343,0.6087,0.8796,2.0226,(C | LocationCrossover),0,0
18,2218733831216,-5477955756718496814,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=3)),0,0
19,2218733833568,-8205640080712066515,318,0,0.5343,0.6087,0.8796,2.0226,(C | TimeSlotCrossover),0,0
20,2218726292192,-1922108692348429163,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=2)),0,0
21,2218733830656,-7004495476180465943,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=2)),0,0
22,2218733830208,-8017302249618415507,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=3)),0,0
23,2218733833344,-9098623532203641319,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=1)),0,0
24,2218726290400,5146016475665843623,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=3)),0,0
