Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,65867,64424,61147,58408,74057,64425,56419
09:11,61859,65302,61798,60950,58709,66339,63372,59320
09:22,59826,67231,65253,70462,63371,71263,59828,71211
09:33,74584,73685,13864,26789,31853,72160,67239,68279
09:44,67555,74586,61798,61147,,,66737,74057
09:55,65253,66339,13867,65302,31854,73598,63371,31855
10:06,55396,64425,74584,54584,3703,63372,67239,61859
10:17,64424,55394,18686,71211,72160,4893,54665,74585
10:28,67555,49129,65867,53313,53457,40146,,
10:39,,,57674,70462,67231,4893,68279,51930
10:50,13867,31854,13864,58408,18686,66737,59828,58575
11:01,55396,58709,51930,74586,31855,74585,71263,53313
11:12,60950,54665,56419,26789,55394,59320,49129,31853
11:23,40146,54584,53457,59826,3703,57674,58575,73685

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61859,61798,54665,53313,59828,63372,63371,54584
14:07,60950,58575,31854,31853,58709,67231,49129,4893
14:15,65253,65867,3703,59320,64424,67239,68279,58408
14:22,31855,26789,64425,61147,13867,40146,55396,13864
14:30,74584,31854,55394,57674,67231,66737,51930,18686
14:37,59826,65302,54665,70462,64424,63372,49129,74585
14:45,65867,31855,53457,65253,67555,68279,60950,56419
14:52,26789,73685,66339,31853,58408,73598,3703,74585
15:00,63371,55394,67239,61798,71211,4893,59828,40146
15:07,54584,64425,53457,66737,58709,57674,18686,74584
15:15,74586,73685,13867,61859,3703,72160,71263,61147
15:22,67555,65867,13864,74057,53313,40146,58575,73598
15:30,74586,65302,51930,54584,31855,66339,60950,31853
15:37,55396,63372,71263,71211,67231,59320,67239,74584
15:45,56419,73598,61798,53313,49129,72160,70462,74057
15:52,64424,,55394,26789,59826,31854,4893,58408
16:00,74585,64425,59828,66737,71211,68279,13864,65302
16:07,63371,54665,73685,61859,18686,58709,65253,67555
16:15,66339,72160,55396,74057,59826,57674,71263,13867
16:22,70462,74586,51930,53457,61147,59320,58575,56419

