Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,72160,65867,63372,61798,60950,71211,63371,59826
09:11,64424,67231,65253,57674,58709,65302,61147,56419
09:22,59828,70462,64425,67239,61859,74586,58408,73685
09:33,74584,74585,3703,13867,31854,71263,66737,68279
09:44,66339,73598,65253,61798,,,67555,71211
09:55,64425,65302,26789,67231,13864,72160,61859,31853
10:06,40146,63371,74584,54665,4893,61147,66737,64424
10:17,63372,55396,31855,73685,71263,18686,49129,74057
10:28,66339,53313,65867,55394,,,53457,51930
10:39,,,59320,67239,70462,18686,68279,54584
10:50,26789,13864,3703,60950,31855,67555,58408,58575
11:01,40146,58709,54584,73598,31853,74057,74586,55394
11:12,57674,49129,59826,13867,55396,56419,53313,31854
11:23,51930,54665,53457,59828,4893,59320,58575,74585

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64424,65253,49129,55394,58408,61147,61859,54665
14:07,57674,58575,13864,31854,58709,70462,53313,18686
14:15,64425,65867,4893,56419,63372,66737,68279,60950
14:22,31853,13867,63371,61798,26789,51930,40146,3703
14:30,74584,13864,55396,59320,70462,67555,54584,31855
14:37,59828,67231,49129,67239,63372,61147,53313,74057
14:45,65867,31853,53457,64425,66339,68279,57674,59826
14:52,13867,74585,65302,31854,60950,72160,4893,74057
15:00,61859,55396,66737,65253,73685,18686,58408,51930
15:07,54665,63371,53457,67555,58709,59320,31855,74584
15:15,73598,74585,26789,64424,4893,71263,74586,61798
15:22,66339,65867,3703,71211,55394,51930,58575,72160
15:30,73598,67231,54584,54665,31853,65302,57674,31854
15:37,40146,61147,74586,73685,70462,56419,66737,74584
15:45,59826,72160,65253,55394,53313,71263,67239,71211
15:52,63372,,55396,13867,59828,13864,18686,60950
16:00,74057,63371,58408,67555,73685,68279,3703,67231
16:07,61859,49129,74585,64424,31855,58709,64425,66339
16:15,65302,71263,40146,71211,59828,59320,74586,26789
16:22,67239,73598,54584,53457,61798,56419,58575,59826

