Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,74584,65867,63372,61798,58408,73685,65253,58575
09:11,64424,67555,61147,57674,58709,65302,63371,56419
09:22,59828,66339,64425,70462,61859,74586,60950,74585
09:33,73598,71263,26789,31855,13864,74057,67231,66737
09:44,68279,72160,61147,61798,,,67239,73685
09:55,64425,65302,31854,67555,13867,74584,61859,31853
10:06,40146,65253,73598,54584,3703,63371,67231,64424
10:17,63372,53313,18686,74585,74057,4893,55396,71211
10:28,68279,55394,65867,49129,,,53457,51930
10:39,,,59320,70462,66339,4893,66737,54665
10:50,31854,13867,26789,58408,18686,67239,60950,59826
11:01,40146,58709,54665,72160,31853,71211,74586,49129
11:12,57674,55396,58575,31855,53313,56419,55394,13864
11:23,51930,54584,59828,53457,3703,59320,59826,71263

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64424,61147,55396,49129,60950,63371,61859,54584
14:07,57674,59826,13867,13864,58709,66339,55394,4893
14:15,64425,65867,3703,56419,63372,67231,66737,58408
14:22,31853,31855,65253,61798,31854,51930,40146,26789
14:30,73598,13867,53313,59320,66339,67239,54665,18686
14:37,59828,67555,55396,70462,63372,63371,55394,71211
14:45,65867,31853,53457,64425,68279,66737,57674,58575
14:52,31855,71263,65302,13864,58408,74584,3703,71211
15:00,61859,53313,67231,61147,74585,4893,60950,51930
15:07,54584,65253,53457,67239,58709,59320,18686,73598
15:15,72160,71263,31854,64424,3703,74057,74586,61798
15:22,68279,65867,26789,73685,49129,51930,59826,74584
15:30,72160,67555,54665,54584,31853,65302,57674,13864
15:37,40146,63371,74586,74585,66339,56419,67231,73598
15:45,58575,74584,61147,49129,55394,74057,70462,73685
15:52,63372,,53313,31855,59828,13867,4893,58408
16:00,71211,65253,60950,67239,74585,66737,26789,67555
16:07,61859,55396,71263,64424,18686,58709,64425,68279
16:15,65302,74057,40146,73685,59828,59320,74586,31854
16:22,70462,72160,54665,53457,61798,56419,59826,58575

