Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,68279,64424,64425,59828,74057,61147,58709
09:11,61859,65302,63371,60950,56419,66339,65253,58575
09:22,59826,65867,61798,67555,63372,71263,58408,71211
09:33,74584,73685,13864,31854,31853,72160,67231,66737
09:44,70462,74586,63371,64425,,,67239,74057
09:55,61798,66339,26789,65302,31855,73598,63372,13867
10:06,40146,61147,74584,54584,4893,65253,67231,61859
10:17,64424,53313,18686,71211,72160,3703,51930,74585
10:28,70462,55394,68279,49129,53457,55396,,
10:39,,,59320,67555,65867,3703,66737,54665
10:50,26789,31855,13864,59828,18686,67239,58408,57674
11:01,40146,56419,54665,74586,13867,74585,71263,49129
11:12,60950,51930,58709,31854,53313,58575,55394,31853
11:23,55396,54584,59826,53457,4893,59320,57674,73685

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61859,63371,51930,49129,58408,65253,63372,54584
14:07,60950,57674,31855,31853,56419,65867,55394,3703
14:15,61798,68279,4893,58575,64424,67231,66737,59828
14:22,13867,31854,61147,64425,26789,55396,40146,13864
14:30,74584,31855,53313,59320,65867,67239,54665,18686
14:37,59826,65302,51930,67555,64424,65253,55394,74585
14:45,68279,13867,53457,61798,70462,66737,60950,58709
14:52,31854,73685,66339,31853,59828,73598,4893,74585
15:00,63372,53313,67231,63371,71211,3703,58408,55396
15:07,54584,61147,53457,67239,56419,59320,18686,74584
15:15,74586,73685,26789,61859,4893,72160,71263,64425
15:22,70462,68279,13864,74057,49129,55396,57674,73598
15:30,74586,65302,54665,54584,13867,66339,60950,31853
15:37,40146,65253,71263,71211,65867,58575,67231,74584
15:45,58709,73598,63371,49129,55394,72160,67555,74057
15:52,64424,,53313,31854,59826,31855,3703,59828
16:00,74585,61147,58408,67239,71211,66737,13864,65302
16:07,63372,51930,73685,61859,18686,56419,61798,70462
16:15,66339,72160,40146,74057,59826,59320,71263,26789
16:22,67555,74586,54665,53457,64425,58575,57674,58709

