Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,72160,65867,63372,61147,60950,71211,61859,59826
09:11,64424,67231,63371,57674,58709,65302,65253,56419
09:22,59828,70462,64425,67239,61798,74586,58408,73685
09:33,74584,74585,3703,13867,31854,71263,66737,68279
09:44,66339,73598,63371,61147,,,67555,71211
09:55,64425,65302,26789,67231,13864,72160,61798,31853
10:06,55396,61859,74584,53313,4893,65253,66737,64424
10:17,63372,55394,31855,73685,71263,18686,51930,74057
10:28,66339,40146,65867,49129,,,53457,54665
10:39,,,59320,67239,70462,18686,68279,54584
10:50,26789,13864,3703,60950,31855,67555,58408,58575
11:01,55396,58709,54584,73598,31853,74057,74586,49129
11:12,57674,51930,59826,13867,55394,56419,40146,31854
11:23,54665,53313,53457,59828,4893,59320,58575,74585

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,64424,63371,51930,49129,58408,65253,61798,53313
14:07,57674,58575,13864,31854,58709,70462,40146,18686
14:15,64425,65867,4893,56419,63372,66737,68279,60950
14:22,31853,13867,61859,61147,26789,54665,55396,3703
14:30,74584,13864,55394,59320,70462,67555,54584,31855
14:37,59828,67231,51930,67239,63372,65253,40146,74057
14:45,65867,31853,53457,64425,66339,68279,57674,59826
14:52,13867,74585,65302,31854,60950,72160,4893,74057
15:00,61798,55394,66737,63371,73685,18686,58408,54665
15:07,53313,61859,53457,67555,58709,59320,31855,74584
15:15,73598,74585,26789,64424,4893,71263,74586,61147
15:22,66339,65867,3703,71211,49129,54665,58575,72160
15:30,73598,67231,54584,53313,31853,65302,57674,31854
15:37,55396,65253,74586,73685,70462,56419,66737,74584
15:45,59826,72160,63371,49129,40146,71263,67239,71211
15:52,63372,,55394,13867,59828,13864,18686,60950
16:00,74057,61859,58408,67555,73685,68279,3703,67231
16:07,61798,51930,74585,64424,31855,58709,64425,66339
16:15,65302,71263,55396,71211,59828,59320,74586,26789
16:22,67239,73598,54584,53457,61147,56419,58575,59826

