Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,73598,65867,63372,65253,58408,74057,64425,59320
09:11,61798,65302,61147,60950,58709,66339,63371,56419
09:22,59826,67231,64424,70462,61859,71263,59828,71211
09:33,74584,73685,13864,26789,31853,72160,67239,68279
09:44,67555,74586,61147,65253,,,66737,74057
09:55,64424,66339,13867,65302,31854,73598,61859,31855
10:06,55396,64425,74584,54584,3703,63371,67239,61798
10:17,63372,53313,18686,71211,72160,4893,49129,74585
10:28,67555,40146,65867,54665,53457,55394,,
10:39,,,57674,70462,67231,4893,68279,51930
10:50,13867,31854,13864,58408,18686,66737,59828,58575
11:01,55396,58709,51930,74586,31855,74585,71263,54665
11:12,60950,49129,59320,26789,53313,56419,40146,31853
11:23,55394,54584,53457,59826,3703,57674,58575,73685

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61798,61147,49129,54665,59828,63371,61859,54584
14:07,60950,58575,31854,31853,58709,67231,40146,4893
14:15,64424,65867,3703,56419,63372,67239,68279,58408
14:22,31855,26789,64425,65253,13867,55394,55396,13864
14:30,74584,31854,53313,57674,67231,66737,51930,18686
14:37,59826,65302,49129,70462,63372,63371,40146,74585
14:45,65867,31855,53457,64424,67555,68279,60950,59320
14:52,26789,73685,66339,31853,58408,73598,3703,74585
15:00,61859,53313,67239,61147,71211,4893,59828,55394
15:07,54584,64425,53457,66737,58709,57674,18686,74584
15:15,74586,73685,13867,61798,3703,72160,71263,65253
15:22,67555,65867,13864,74057,54665,55394,58575,73598
15:30,74586,65302,51930,54584,31855,66339,60950,31853
15:37,55396,63371,71263,71211,67231,56419,67239,74584
15:45,59320,73598,61147,54665,40146,72160,70462,74057
15:52,63372,,53313,26789,59826,31854,4893,58408
16:00,74585,64425,59828,66737,71211,68279,13864,65302
16:07,61859,49129,73685,61798,18686,58709,64424,67555
16:15,66339,72160,55396,74057,59826,57674,71263,13867
16:22,70462,74586,51930,53457,65253,56419,58575,59320

