Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,72160,68279,65253,61798,57674,73685,64424,58709
09:11,61147,67239,63371,59826,58575,66737,56419,64425
09:22,58408,31855,61859,70462,63372,74585,59320,73598
09:33,71263,74584,65867,13867,18686,71211,66339,31854
09:44,67231,74057,63371,61798,4893,64425,67555,73685
09:55,61859,66737,26789,67239,31853,72160,63372,3703
10:06,51930,64424,71263,53313,73598,13864,66339,61147
10:17,65253,40146,,,71211,65302,,
10:28,67231,55394,68279,55396,54665,49129,53457,74586
10:39,,,60950,70462,31855,65302,31854,54584
10:50,26789,31853,65867,57674,13864,67555,59320,59828
11:01,51930,58575,54584,74057,3703,74586,74585,55396
11:12,59826,53457,58709,13867,40146,56419,55394,18686
11:23,49129,53313,54665,58408,4893,60950,59828,74584

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61147,63371,53457,55396,59320,64425,63372,53313
14:07,59826,59828,31853,18686,58575,31855,55394,65302
14:15,61859,68279,4893,56419,65253,66339,31854,57674
14:22,3703,13867,64424,61798,26789,49129,51930,65867
14:30,71263,31853,40146,60950,31855,67555,54584,13864
14:37,58408,67239,53457,70462,65253,64425,55394,74586
14:45,68279,3703,54665,61859,67231,31854,59826,58709
14:52,13867,74584,66737,18686,57674,72160,4893,74586
15:00,63372,40146,66339,63371,73598,65302,59320,49129
15:07,53313,64424,54665,67555,58575,60950,13864,71263
15:15,74057,74584,26789,61147,4893,71211,74585,61798
15:22,67231,68279,65867,73685,55396,49129,59828,72160
15:30,74057,67239,54584,53313,3703,66737,59826,18686
15:37,51930,64425,74585,73598,31855,56419,66339,71263
15:45,58709,72160,63371,55396,55394,71211,70462,73685
15:52,65253,,40146,13867,58408,31853,65302,57674
16:00,74586,64424,59320,67555,73598,31854,65867,67239
16:07,63372,53457,74584,61147,13864,58575,61859,67231
16:15,66737,71211,51930,73685,58408,60950,74585,26789
16:22,70462,74057,54584,54665,61798,56419,59828,58709

