Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,74584,67555,65253,61798,59826,71211,64424,58575
09:11,61147,66339,63371,58709,57674,67231,59320,64425
09:22,60950,31854,61859,68279,63372,74057,58408,74586
09:33,73685,71263,66737,31853,18686,73598,65302,31855
09:44,65867,74585,63371,61798,3703,64425,70462,71211
09:55,61859,67231,13864,66339,13867,74584,63372,4893
10:06,49129,64424,73685,54584,74586,26789,65302,61147
10:17,65253,55396,,,73598,67239,,
10:28,65867,53457,67555,55394,53313,51930,54665,72160
10:39,,,59828,68279,31854,67239,31855,40146
10:50,13864,13867,66737,59826,26789,70462,58408,56419
11:01,49129,57674,40146,74585,4893,72160,74057,55394
11:12,58709,54665,58575,31853,55396,59320,53457,18686
11:23,51930,54584,60950,53313,3703,59828,56419,71263

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61147,63371,54665,55394,58408,64425,63372,54584
14:07,58709,56419,13867,18686,57674,31854,53457,67239
14:15,61859,67555,3703,59320,65253,65302,31855,59826
14:22,4893,31853,64424,61798,13864,51930,49129,66737
14:30,73685,13867,55396,59828,31854,70462,40146,26789
14:37,60950,66339,54665,68279,65253,64425,53457,72160
14:45,67555,4893,53313,61859,65867,31855,58709,58575
14:52,31853,71263,67231,18686,59826,74584,3703,72160
15:00,63372,55396,65302,63371,74586,67239,58408,51930
15:07,54584,64424,53313,70462,57674,59828,26789,73685
15:15,74585,71263,13864,61147,3703,73598,74057,61798
15:22,65867,67555,66737,71211,55394,51930,56419,74584
15:30,74585,66339,40146,54584,4893,67231,58709,18686
15:37,49129,64425,74057,74586,31854,59320,65302,73685
15:45,58575,74584,63371,55394,53457,73598,68279,71211
15:52,65253,,55396,31853,60950,13867,67239,59826
16:00,72160,64424,58408,70462,74586,31855,66737,66339
16:07,63372,54665,71263,61147,26789,57674,61859,65867
16:15,67231,73598,49129,71211,60950,59828,74057,13864
16:22,68279,74585,40146,53313,61798,59320,56419,58575

