Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,71263,67555,65253,61798,59320,74057,64424,58575
09:11,61147,66737,63371,59826,57674,67239,58709,64425
09:22,60950,31855,61859,68279,63372,73685,58408,72160
09:33,74585,71211,65302,26789,18686,74586,66339,31854
09:44,70462,73598,63371,61798,3703,64425,65867,74057
09:55,61859,67239,13867,66737,31853,71263,63372,4893
10:06,49129,64424,74585,53313,72160,13864,66339,61147
10:17,65253,55396,,,74586,67231,,
10:28,70462,40146,67555,51930,53457,55394,54584,74584
10:39,,,59828,68279,31855,67231,31854,54665
10:50,13867,31853,65302,59320,13864,65867,58408,56419
11:01,49129,57674,54665,73598,4893,74584,73685,51930
11:12,59826,54584,58575,26789,55396,58709,40146,18686
11:23,55394,53313,53457,60950,3703,59828,56419,71211

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,61147,63371,54584,51930,58408,64425,63372,53313
14:07,59826,56419,31853,18686,57674,31855,40146,67231
14:15,61859,67555,3703,58709,65253,66339,31854,59320
14:22,4893,26789,64424,61798,13867,55394,49129,65302
14:30,74585,31853,55396,59828,31855,65867,54665,13864
14:37,60950,66737,54584,68279,65253,64425,40146,74584
14:45,67555,4893,53457,61859,70462,31854,59826,58575
14:52,26789,71211,67239,18686,59320,71263,3703,74584
15:00,63372,55396,66339,63371,72160,67231,58408,55394
15:07,53313,64424,53457,65867,57674,59828,74585,13864
15:15,73598,71211,13867,61147,3703,74586,73685,61798
15:22,70462,67555,65302,74057,51930,55394,56419,71263
15:30,73598,66737,54665,53313,4893,67239,59826,18686
15:37,49129,64425,73685,72160,31855,58709,66339,74585
15:45,58575,71263,63371,51930,40146,74586,68279,74057
15:52,65253,,55396,26789,60950,31853,67231,59320
16:00,74584,64424,58408,65867,72160,31854,65302,66737
16:07,63372,54584,71211,61147,13864,57674,61859,70462
16:15,67239,74586,49129,74057,60950,59828,73685,13867
16:22,68279,73598,54665,53457,61798,58709,56419,58575

