Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,59826,59828,60950
10:30,61147,61798,61859,63371,63372,64424,64425,,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,72160,66737,65253,64424,57674,74585,61859,58709
09:11,63372,65867,63371,60950,58575,70462,56419,61147
09:22,58408,31854,61798,65302,64425,74584,59828,71211
09:33,71263,74057,67239,13867,18686,74586,67555,31855
09:44,67231,73598,63371,64424,26789,61147,68279,74585
09:55,61798,70462,4893,65867,31853,72160,64425,3703
10:06,53457,61859,71263,54584,71211,13864,67555,63372
10:17,65253,55396,,,74586,66339,,
10:28,67231,40146,66737,51930,55394,54665,49129,73685
10:39,,,59320,65302,31854,66339,31855,53313
10:50,4893,31853,67239,57674,13864,68279,59828,59826
11:01,53457,58575,53313,73598,3703,73685,74584,51930
11:12,60950,49129,58709,13867,55396,56419,40146,18686
11:23,54665,54584,55394,58408,26789,59320,59826,74057

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,63372,63371,49129,51930,59828,61147,64425,54584
14:07,60950,59826,31853,18686,58575,31854,40146,66339
14:15,61798,66737,26789,56419,65253,67555,31855,57674
14:22,3703,13867,61859,64424,4893,54665,53457,67239
14:30,71263,31853,55396,59320,31854,68279,53313,13864
14:37,58408,65867,49129,65302,65253,61147,40146,73685
14:45,66737,3703,55394,61798,67231,31855,60950,58709
14:52,13867,74057,70462,18686,57674,72160,26789,73685
15:00,64425,55396,67555,63371,71211,66339,59828,54665
15:07,54584,61859,55394,68279,58575,59320,13864,71263
15:15,73598,74057,4893,63372,26789,74586,74584,64424
15:22,67231,66737,67239,74585,51930,54665,59826,72160
15:30,73598,65867,53313,54584,3703,70462,60950,18686
15:37,53457,61147,74584,71211,31854,56419,67555,71263
15:45,58709,72160,63371,51930,40146,74586,65302,74585
15:52,65253,,55396,13867,58408,31853,66339,57674
16:00,73685,61859,59828,68279,71211,31855,67239,65867
16:07,64425,49129,74057,63372,13864,58575,61798,67231
16:15,70462,74586,53457,74585,58408,59320,74584,4893
16:22,65302,73598,53313,55394,64424,56419,59826,58709

