Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,3703,4893,13864,13867,18686,26789,31853,31854,31855
09:00,40146,49129,51930,53313,53457,54584,54665,55394,55396
09:45,56419,57674,58408,58575,58709,59320,,59826,59828
10:30,60950,61147,61798,61859,63371,63372,64424,64425,65253
11:15,65302,65867,66339,66737,67231,67239,67555,68279,70462
12:00,71211,71263,72160,73598,73685,74057,74584,74585,74586

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,56419,66339,63371,59826,60950,61798,73598,58408
09:11,58709,63372,59320,64425,65867,65253,57674,61859
09:22,74586,67239,61147,60950,65302,58575,71263,70462
09:33,65253,68279,67231,61798,74585,26789,64425,65867
09:44,64424,63371,61859,74584,74057,71211,66737,66339
09:55,31854,61147,70462,72160,13864,63372,53457,73685
10:06,31855,64424,3703,67555,31853,55394,54665,68279
10:17,18686,13867,55396,66737,53313,51930,54584,65302
10:28,,,71211,67239,,,,
10:39,67231,49129,31853,74057,51930,40146,4893,59828
10:50,55394,59826,31855,74586,74585,54584,13864,71263
11:01,59320,58408,67555,26789,4893,72160,58709,73598
11:12,53457,3703,54665,59828,73685,13867,49129,74584
11:23,56419,31854,53313,18686,58575,55396,40146,57674

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,56419,3703,67555,53313,13864,40146,53457,59828
14:07,74586,66339,63371,74057,73685,58408,74585,74584
14:15,72160,67231,61859,64424,61798,71211,71263,4893
14:22,64425,55394,59320,60950,58575,54584,49129,65302
14:30,31854,59828,59826,67239,31853,26789,54665,70462
14:37,58709,53457,55396,65867,60950,65253,66737,31855
14:45,68279,63372,18686,72160,31853,4893,74057,13867
14:52,63371,71263,51930,74584,65302,40146,73598,57674
15:00,67231,61147,3703,59826,13864,61798,,
15:07,18686,64424,31855,68279,74585,55394,51930,74586
15:15,31854,66339,55396,64425,54665,26789,73685,61859
15:22,59320,58575,66737,61147,65867,40146,54584,13864
15:30,58408,49129,65302,63372,60950,13867,70462,67239
15:37,59320,31854,61859,67555,56419,68279,59826,73598
15:45,65253,58575,49129,61798,4893,51930,57674,71263
15:52,53457,13867,70462,53313,58408,63372,73598,63371
16:00,55394,31855,54665,72160,56419,55396,57674,61147
16:07,67231,3703,26789,74586,53313,71211,66737,73685
16:15,64424,67239,31853,74584,74057,66339,58709,18686
16:22,65253,59828,74585,64425,67555,71211,54584,65867

